customer_id,full_name,email,country,signup_date,customer_segment,lifetime_value,currency
C0042,Sample Customer 42,customer42@example.com,united kingdom,2025-01-15,Standard,504,GBP
C0043,Sample Customer 43,customer43@example.com,United Kingdom,2025-01-16,Standard,516,GBP
C0044,Sample Customer 44,customer44@example.com,United Kingdom,2025-01-17,Standard,528,GBP
C0045, Sample Customer 45 ,customer45@example.com,united kingdom,2025-01-18,Standard,540,GBP
C0046,Sample Customer 46,customer46@example.com,United Kingdom,2025-01-19,Standard,552,GBP
C0047,Sample Customer 47,customer47@example.com,United Kingdom,2025-01-20,Standard,564,GBP
C0048,Sample Customer 48,customer48@example.com,united kingdom,2025-01-21,Standard,576,GBP
C0049,Sample Customer 49,customer49@example.com,United Kingdom,2025-01-22,Standard,588,GBP
C0050,Sample Customer 50,customer50@example.com,United Kingdom,2025-01-23,Standard,600,GBP
C0051,Sample Customer 51,invalid-email,united kingdom,2025-01-24,Standard,612,GBP
C0052,Sample Customer 52,customer52@example.com,United Kingdom,2025-01-25,,624,GBP
C0053,Sample Customer 53,customer53@example.com,United Kingdom,2025-01-26,Standard,636,GBP
C0054, Sample Customer 54 ,customer54@example.com,united kingdom,2025-01-27,Standard,648,GBP
C0055,Sample Customer 55,customer55@example.com,United Kingdom,2025-01-28,Standard,660,GBP
C0056,Sample Customer 56,customer56@example.com,United Kingdom,2025-01-01,Standard,672,GBP
C0057,Sample Customer 57,customer57@example.com,united kingdom,2025-01-02,Standard,684,GBP
C0058,Sample Customer 58,customer58@example.com,United Kingdom,2025-01-03,Standard,-25,GBP
C0059,Sample Customer 59,customer59@example.com,United Kingdom,2025-01-04,Standard,708,GBP
C0060,Sample Customer 60,customer60@example.com,united kingdom,2025-01-05,Standard,720,GBP
C0061,Sample Customer 61,customer61@example.com,United Kingdom,2025-01-06,Standard,732,GBP
C0062,Sample Customer 62,customer62@example.com,United Kingdom,2025-01-07,Standard,744,GBP
C0063, Sample Customer 63 ,customer63@example.com,united kingdom,2025-01-08,Standard,756,GBP
C0064,Sample Customer 64,customer64@example.com,United Kingdom,2025-01-09,Standard,768,GBP
C0065,Sample Customer 65,customer65@example.com,United Kingdom,2025-01-10,,780,GBP
C0066,Sample Customer 66,customer66@example.com,united kingdom,2025-01-11,Standard,792,GBP
C0067,Sample Customer 67,customer67@example.com,United Kingdom,2025-01-12,Standard,804,GBP
C0068,Sample Customer 68,invalid-email,United Kingdom,2025-01-13,Standard,816,GBP
C0069,Sample Customer 69,customer69@example.com,united kingdom,2025-01-14,Standard,828,GBP
C0070,Sample Customer 70,customer70@example.com,United Kingdom,2025-01-15,Standard,840,GBP
C0071,Sample Customer 71,customer71@example.com,United Kingdom,2025-01-16,Standard,852,GBP
C0072, Sample Customer 72 ,customer72@example.com,united kingdom,2025-01-17,Standard,864,GBP
C0073,Sample Customer 73,customer73@example.com,United Kingdom,2025-01-18,Standard,876,GBP
C0074,Sample Customer 74,customer74@example.com,United Kingdom,2025-01-19,Standard,888,GBP
C0075,Sample Customer 75,customer75@example.com,united kingdom,2025-01-20,Standard,900,GBP
C0076,Sample Customer 76,customer76@example.com,United Kingdom,2025-01-21,Standard,912,GBP
C0077,Sample Customer 77,customer77@example.com,United Kingdom,2025-01-22,Standard,924,GBP
C0078,Sample Customer 78,customer78@example.com,united kingdom,2025-01-23,,936,GBP
C0079,Sample Customer 79,customer79@example.com,United Kingdom,2025-01-24,Standard,948,GBP
C0080,Sample Customer 80,customer80@example.com,United Kingdom,2025-01-25,Standard,960,GBP
C0081, Sample Customer 81 ,customer81@example.com,united kingdom,2025-01-26,Standard,972,GBP
C0082,Sample Customer 82,customer82@example.com,United Kingdom,2025-01-27,Standard,984,GBP
C0083,Sample Customer 83,customer83@example.com,United Kingdom,2025-01-28,Standard,996,GBP
C0084,Sample Customer 84,customer84@example.com,united kingdom,2025-01-01,Standard,1008,GBP
C0085,Sample Customer 85,invalid-email,United Kingdom,2025-01-02,Standard,1020,GBP
C0086,Sample Customer 86,customer86@example.com,United Kingdom,2025-01-03,Standard,1032,GBP
C0087,Sample Customer 87,customer87@example.com,united kingdom,2025-01-04,Standard,-25,GBP
C0088,Sample Customer 88,customer88@example.com,United Kingdom,2025-01-05,Standard,1056,GBP
C0089,Sample Customer 89,customer89@example.com,United Kingdom,2025-01-06,Standard,1068,GBP
C0090, Sample Customer 90 ,customer90@example.com,united kingdom,2025-01-07,Standard,1080,GBP
C0091,Sample Customer 91,customer91@example.com,United Kingdom,2025-01-08,,1092,GBP
C0092,Sample Customer 92,customer92@example.com,United Kingdom,2025-01-09,Standard,1104,GBP
C0093,Sample Customer 93,customer93@example.com,united kingdom,2025-01-10,Standard,1116,GBP
C0094,Sample Customer 94,customer94@example.com,United Kingdom,2025-01-11,Standard,1128,GBP
C0095,Sample Customer 95,customer95@example.com,United Kingdom,2025-01-12,Standard,1140,GBP
C0096,Sample Customer 96,customer96@example.com,united kingdom,2025-01-13,Standard,1152,GBP
C0097,Sample Customer 97,customer97@example.com,United Kingdom,2025-01-14,Standard,1164,GBP
C0098,Sample Customer 98,customer98@example.com,United Kingdom,2025-01-15,Standard,1176,GBP
C0099, Sample Customer 99 ,customer99@example.com,united kingdom,2025-01-16,Standard,1188,GBP
C0100,Sample Customer 100,customer100@example.com,United Kingdom,2025-01-17,Standard,1200,GBP
C0101,Sample Customer 101,customer101@example.com,United Kingdom,2025-01-18,Standard,1212,GBP
C0102,Sample Customer 102,invalid-email,united kingdom,2025-01-19,Standard,1224,GBP
C0103,Sample Customer 103,customer103@example.com,United Kingdom,2025-01-20,Standard,1236,GBP
C0104,Sample Customer 104,customer104@example.com,United Kingdom,2025-01-21,,1248,GBP
C0105,Sample Customer 105,customer105@example.com,united kingdom,2025-01-22,Standard,1260,GBP
C0106,Sample Customer 106,customer106@example.com,United Kingdom,2025-01-23,Standard,1272,GBP
C0107,Sample Customer 107,customer107@example.com,United Kingdom,2025-01-24,Standard,1284,GBP
C0108, Sample Customer 108 ,customer108@example.com,united kingdom,2025-01-25,Standard,1296,GBP
C0109,Sample Customer 109,customer109@example.com,United Kingdom,2025-01-26,Standard,1308,GBP
C0110,Sample Customer 110,customer110@example.com,United Kingdom,2025-01-27,Standard,1320,GBP
C0111,Sample Customer 111,customer111@example.com,united kingdom,2025-01-28,Standard,1332,GBP
C0112,Sample Customer 112,customer112@example.com,United Kingdom,2025-01-01,Standard,1344,GBP
C0113,Sample Customer 113,customer113@example.com,United Kingdom,2025-01-02,Standard,1356,GBP
C0114,Sample Customer 114,customer114@example.com,united kingdom,2025-01-03,Standard,1368,GBP
C0115,Sample Customer 115,customer115@example.com,United Kingdom,2025-01-04,Standard,1380,GBP
C0116,Sample Customer 116,customer116@example.com,United Kingdom,2025-01-05,Standard,-25,GBP
C0117, Sample Customer 117 ,customer117@example.com,united kingdom,2025-01-06,,1404,GBP
C0118,Sample Customer 118,customer118@example.com,United Kingdom,2025-01-07,Standard,1416,GBP
C0119,Sample Customer 119,invalid-email,United Kingdom,2025-01-08,Standard,1428,GBP
C0120,Sample Customer 120,customer120@example.com,united kingdom,2025-01-09,Standard,1440,GBP
C0121,Sample Customer 121,customer121@example.com,United Kingdom,2025-01-10,Standard,1452,GBP
C0122,Sample Customer 122,customer122@example.com,United Kingdom,2025-01-11,Standard,1464,GBP
C0123,Sample Customer 123,customer123@example.com,united kingdom,2025-01-12,Standard,1476,GBP
C0124,Sample Customer 124,customer124@example.com,United Kingdom,2025-01-13,Standard,1488,GBP
C0125,Sample Customer 125,customer125@example.com,United Kingdom,2025-01-14,Standard,1500,GBP
C0126, Sample Customer 126 ,customer126@example.com,united kingdom,2025-01-15,Standard,1512,GBP
C0127,Sample Customer 127,customer127@example.com,United Kingdom,2025-01-16,Standard,1524,GBP
C0128,Sample Customer 128,customer128@example.com,United Kingdom,2025-01-17,Standard,1536,GBP
C0129,Sample Customer 129,customer129@example.com,united kingdom,2025-01-18,Standard,1548,GBP
C0130,Sample Customer 130,customer130@example.com,United Kingdom,2025-01-19,,1560,GBP
C0131,Sample Customer 131,customer131@example.com,United Kingdom,2025-01-20,Standard,1572,GBP
C0132,Sample Customer 132,customer132@example.com,united kingdom,2025-01-21,Standard,1584,GBP
C0133,Sample Customer 133,customer133@example.com,United Kingdom,2025-01-22,Standard,1596,GBP
C0134,Sample Customer 134,customer134@example.com,United Kingdom,2025-01-23,Standard,1608,GBP
C0135, Sample Customer 135 ,customer135@example.com,united kingdom,2025-01-24,Standard,1620,GBP
C0136,Sample Customer 136,invalid-email,United Kingdom,2025-01-25,Standard,1632,GBP
C0137,Sample Customer 137,customer137@example.com,United Kingdom,2025-01-26,Standard,1644,GBP
C0138,Sample Customer 138,customer138@example.com,united kingdom,2025-01-27,Standard,1656,GBP
C0139,Sample Customer 139,customer139@example.com,United Kingdom,2025-01-28,Standard,1668,GBP
C0140,Sample Customer 140,customer140@example.com,United Kingdom,2025-01-01,Standard,1680,GBP
C0141,Sample Customer 141,customer141@example.com,united kingdom,2025-01-02,Standard,1692,GBP
C0142,Sample Customer 142,customer142@example.com,United Kingdom,2025-01-03,Standard,1704,GBP
C0143,Sample Customer 143,customer143@example.com,United Kingdom,2025-01-04,,1716,GBP
C0144, Sample Customer 144 ,customer144@example.com,united kingdom,2025-01-05,Standard,1728,GBP
C0145,Sample Customer 145,customer145@example.com,United Kingdom,2025-01-06,Standard,-25,GBP
C0146,Sample Customer 146,customer146@example.com,United Kingdom,2025-01-07,Standard,1752,GBP
C0147,Sample Customer 147,customer147@example.com,united kingdom,2025-01-08,Standard,1764,GBP
C0148,Sample Customer 148,customer148@example.com,United Kingdom,2025-01-09,Standard,1776,GBP
C0149,Sample Customer 149,customer149@example.com,United Kingdom,2025-01-10,Standard,1788,GBP
C0150,Sample Customer 150,customer150@example.com,united kingdom,2025-01-11,Standard,1800,GBP
C0151,Sample Customer 151,customer151@example.com,United Kingdom,2025-01-12,Standard,1812,GBP
C0152,Sample Customer 152,customer152@example.com,United Kingdom,2025-01-13,Standard,1824,GBP
C0153, Sample Customer 153 ,invalid-email,united kingdom,2025-01-14,Standard,1836,GBP
C0154,Sample Customer 154,customer154@example.com,United Kingdom,2025-01-15,Standard,1848,GBP
C0155,Sample Customer 155,customer155@example.com,United Kingdom,2025-01-16,Standard,1860,GBP
C0156,Sample Customer 156,customer156@example.com,united kingdom,2025-01-17,,1872,GBP
C0157,Sample Customer 157,customer157@example.com,United Kingdom,2025-01-18,Standard,1884,GBP
C0158,Sample Customer 158,customer158@example.com,United Kingdom,2025-01-19,Standard,1896,GBP
C0159,Sample Customer 159,customer159@example.com,united kingdom,2025-01-20,Standard,1908,GBP
C0160,Sample Customer 160,customer160@example.com,United Kingdom,2025-01-21,Standard,1920,GBP
C0161,Sample Customer 161,customer161@example.com,United Kingdom,2025-01-22,Standard,1932,GBP
C0162, Sample Customer 162 ,customer162@example.com,united kingdom,2025-01-23,Standard,1944,GBP
C0163,Sample Customer 163,customer163@example.com,United Kingdom,2025-01-24,Standard,1956,GBP
C0164,Sample Customer 164,customer164@example.com,United Kingdom,2025-01-25,Standard,1968,GBP
C0165,Sample Customer 165,customer165@example.com,united kingdom,2025-01-26,Standard,1980,GBP
C0166,Sample Customer 166,customer166@example.com,United Kingdom,2025-01-27,Standard,1992,GBP
C0167,Sample Customer 167,customer167@example.com,United Kingdom,2025-01-28,Standard,2004,GBP
C0168,Sample Customer 168,customer168@example.com,united kingdom,2025-01-01,Standard,2016,GBP
C0169,Sample Customer 169,customer169@example.com,United Kingdom,2025-01-02,,2028,GBP
C0170,Sample Customer 170,invalid-email,United Kingdom,2025-01-03,Standard,2040,GBP
C0171, Sample Customer 171 ,customer171@example.com,united kingdom,2025-01-04,Standard,2052,GBP
C0172,Sample Customer 172,customer172@example.com,United Kingdom,2025-01-05,Standard,2064,GBP
C0173,Sample Customer 173,customer173@example.com,United Kingdom,2025-01-06,Standard,2076,GBP
C0174,Sample Customer 174,customer174@example.com,united kingdom,2025-01-07,Standard,-25,GBP
C0175,Sample Customer 175,customer175@example.com,United Kingdom,2025-01-08,Standard,2100,GBP
C0176,Sample Customer 176,customer176@example.com,United Kingdom,2025-01-09,Standard,2112,GBP
C0177,Sample Customer 177,customer177@example.com,united kingdom,2025-01-10,Standard,2124,GBP
C0178,Sample Customer 178,customer178@example.com,United Kingdom,2025-01-11,Standard,2136,GBP
C0179,Sample Customer 179,customer179@example.com,United Kingdom,2025-01-12,Standard,2148,GBP
C0180, Sample Customer 180 ,customer180@example.com,united kingdom,2025-01-13,Standard,2160,GBP
C0181,Sample Customer 181,customer181@example.com,United Kingdom,2025-01-14,Standard,2172,GBP
C0182,Sample Customer 182,customer182@example.com,United Kingdom,2025-01-15,,2184,GBP
C0183,Sample Customer 183,customer183@example.com,united kingdom,2025-01-16,Standard,2196,GBP
C0184,Sample Customer 184,customer184@example.com,United Kingdom,2025-01-17,Standard,2208,GBP
C0185,Sample Customer 185,customer185@example.com,United Kingdom,2025-01-18,Standard,2220,GBP
C0186,Sample Customer 186,customer186@example.com,united kingdom,2025-01-19,Standard,2232,GBP
C0187,Sample Customer 187,invalid-email,United Kingdom,2025-01-20,Standard,2244,GBP
C0188,Sample Customer 188,customer188@example.com,United Kingdom,2025-01-21,Standard,2256,GBP
C0189, Sample Customer 189 ,customer189@example.com,united kingdom,2025-01-22,Standard,2268,GBP
C0190,Sample Customer 190,customer190@example.com,United Kingdom,2025-01-23,Standard,2280,GBP
C0191,Sample Customer 191,customer191@example.com,United Kingdom,2025-01-24,Standard,2292,GBP
C0192,Sample Customer 192,customer192@example.com,united kingdom,2025-01-25,Standard,2304,GBP
C0193,Sample Customer 193,customer193@example.com,United Kingdom,2025-01-26,Standard,2316,GBP
C0194,Sample Customer 194,customer194@example.com,United Kingdom,2025-01-27,Standard,2328,GBP
C0195,Sample Customer 195,customer195@example.com,united kingdom,2025-01-28,,2340,GBP
C0196,Sample Customer 196,customer196@example.com,United Kingdom,2025-01-01,Standard,2352,GBP
C0197,Sample Customer 197,customer197@example.com,United Kingdom,2025-01-02,Standard,2364,GBP
C0198, Sample Customer 198 ,customer198@example.com,united kingdom,2025-01-03,Standard,2376,GBP
C0199,Sample Customer 199,customer199@example.com,United Kingdom,2025-01-04,Standard,2388,GBP
C0200,Sample Customer 200,customer200@example.com,United Kingdom,2025-01-05,Standard,2400,GBP
C0201,Sample Customer 201,customer201@example.com,united kingdom,2025-01-06,Standard,2412,GBP
C0202,Sample Customer 202,customer202@example.com,United Kingdom,2025-01-07,Standard,2424,GBP
C0203,Sample Customer 203,customer203@example.com,United Kingdom,2025-01-08,Standard,-25,GBP
C0204,Sample Customer 204,invalid-email,united kingdom,2025-01-09,Standard,2448,GBP
C0205,Sample Customer 205,customer205@example.com,United Kingdom,2025-01-10,Standard,2460,GBP
C0206,Sample Customer 206,customer206@example.com,United Kingdom,2025-01-11,Standard,2472,GBP
C0207, Sample Customer 207 ,customer207@example.com,united kingdom,2025-01-12,Standard,2484,GBP
C0208,Sample Customer 208,customer208@example.com,United Kingdom,2025-01-13,,2496,GBP
C0209,Sample Customer 209,customer209@example.com,United Kingdom,2025-01-14,Standard,2508,GBP
C0210,Sample Customer 210,customer210@example.com,united kingdom,2025-01-15,Standard,2520,GBP
C0211,Sample Customer 211,customer211@example.com,United Kingdom,2025-01-16,Standard,2532,GBP
C0212,Sample Customer 212,customer212@example.com,United Kingdom,2025-01-17,Standard,2544,GBP
C0213,Sample Customer 213,customer213@example.com,united kingdom,2025-01-18,Standard,2556,GBP
C0214,Sample Customer 214,customer214@example.com,United Kingdom,2025-01-19,Standard,2568,GBP
C0215,Sample Customer 215,customer215@example.com,United Kingdom,2025-01-20,Standard,2580,GBP
C0216, Sample Customer 216 ,customer216@example.com,united kingdom,2025-01-21,Standard,2592,GBP
C0217,Sample Customer 217,customer217@example.com,United Kingdom,2025-01-22,Standard,2604,GBP
C0218,Sample Customer 218,customer218@example.com,United Kingdom,2025-01-23,Standard,2616,GBP
C0219,Sample Customer 219,customer219@example.com,united kingdom,2025-01-24,Standard,2628,GBP
C0220,Sample Customer 220,customer220@example.com,United Kingdom,2025-01-25,Standard,2640,GBP
C0221,Sample Customer 221,invalid-email,United Kingdom,2025-01-26,,2652,GBP
C0222,Sample Customer 222,customer222@example.com,united kingdom,2025-01-27,Standard,2664,GBP
C0223,Sample Customer 223,customer223@example.com,United Kingdom,2025-01-28,Standard,2676,GBP
C0224,Sample Customer 224,customer224@example.com,United Kingdom,2025-01-01,Standard,2688,GBP
C0225, Sample Customer 225 ,customer225@example.com,united kingdom,2025-01-02,Standard,2700,GBP
C0226,Sample Customer 226,customer226@example.com,United Kingdom,2025-01-03,Standard,2712,GBP
C0227,Sample Customer 227,customer227@example.com,United Kingdom,2025-01-04,Standard,2724,GBP
C0228,Sample Customer 228,customer228@example.com,united kingdom,2025-01-05,Standard,2736,GBP
C0229,Sample Customer 229,customer229@example.com,United Kingdom,2025-01-06,Standard,2748,GBP
C0230,Sample Customer 230,customer230@example.com,United Kingdom,2025-01-07,Standard,2760,GBP
C0231,Sample Customer 231,customer231@example.com,united kingdom,2025-01-08,Standard,2772,GBP
C0232,Sample Customer 232,customer232@example.com,United Kingdom,2025-01-09,Standard,-25,GBP
C0233,Sample Customer 233,customer233@example.com,United Kingdom,2025-01-10,Standard,2796,GBP
C0234, Sample Customer 234 ,customer234@example.com,united kingdom,2025-01-11,,2808,GBP
C0235,Sample Customer 235,customer235@example.com,United Kingdom,2025-01-12,Standard,2820,GBP
C0236,Sample Customer 236,customer236@example.com,United Kingdom,2025-01-13,Standard,2832,GBP
C0237,Sample Customer 237,customer237@example.com,united kingdom,2025-01-14,Standard,2844,GBP
C0238,Sample Customer 238,invalid-email,United Kingdom,2025-01-15,Standard,2856,GBP
C0239,Sample Customer 239,customer239@example.com,United Kingdom,2025-01-16,Standard,2868,GBP
C0240,Sample Customer 240,customer240@example.com,united kingdom,2025-01-17,Standard,2880,GBP
C0241,Sample Customer 241,customer241@example.com,United Kingdom,2025-01-18,Standard,2892,GBP
C0242,Sample Customer 242,customer242@example.com,United Kingdom,2025-01-19,Standard,2904,GBP
C0243, Sample Customer 243 ,customer243@example.com,united kingdom,2025-01-20,Standard,2916,GBP
C0244,Sample Customer 244,customer244@example.com,United Kingdom,2025-01-21,Standard,2928,GBP
C0245,Sample Customer 245,customer245@example.com,United Kingdom,2025-01-22,Standard,2940,GBP
C0246,Sample Customer 246,customer246@example.com,united kingdom,2025-01-23,Standard,2952,GBP
C0247,Sample Customer 247,customer247@example.com,United Kingdom,2025-01-24,,2964,GBP
C0248,Sample Customer 248,customer248@example.com,United Kingdom,2025-01-25,Standard,2976,GBP
C0249,Sample Customer 249,customer249@example.com,united kingdom,2025-01-26,Standard,2988,GBP
C0250,Sample Customer 250,customer250@example.com,United Kingdom,2025-01-27,Standard,3000,GBP
C0001,Sample Customer 1,customer1@example.com,United Kingdom,2025-01-02,Standard,12,GBP
C0002,Sample Customer 2,customer2@example.com,United Kingdom,2025-01-03,Standard,24,GBP
C0003,Sample Customer 3,customer3@example.com,united kingdom,2025-01-04,Standard,36,GBP
C0004,Sample Customer 4,customer4@example.com,United Kingdom,2025-01-05,Standard,48,GBP
C0005,Sample Customer 5,customer5@example.com,United Kingdom,2025-01-06,Standard,60,GBP
